Skratka,Odbornosť
AGG,"lekár, ktorý poskytuje zdravotnú starostlivosť v subšpecializačnom odbore algéziológia"
ALG,"lekár, ktorý poskytuje zdravotnú starostlivosť v špecializačnom odbore klinická imunológia a alergológia alebo v subšpecializačnom odbore pediatrická imunológia a alergiológia"
AND,"lekár, ktorý poskytuje zdravotnú starostlivosť v špecializačnom odbore andrológia"
ANG,"lekár, ktorý poskytuje zdravotnú starostlivosť v špecializačnom odbore angiológia"
ANS,"lekár, ktorý poskytuje zdravotnú starostlivosť v špecializačnom odbore anestéziológia a intenzívna medicína alebo v subšpecializačnom odbore pediatrická anesteziológia alebo v subšpecializačnom odbore pediatrická intenzívna medicína"
DER,"lekár, ktorý poskytuje zdravotnú starostlivosť v špecializačnom odbore dermatovenerológia"
DIA,"lekár, ktorý poskytuje zdravotnú starostlivosť v špecializačnom odbore diabetológia, poruchy látkovej premeny a výživy"
END,"lekár, ktorý poskytuje zdravotnú starostlivosť v špecializačnom odbore endokrinológia"
ENP,"lekár, ktorý poskytuje zdravotnú starostlivosť v subšpecializačnom odbore pediatrická endokrinológia"
GER,"lekár, ktorý poskytuje zdravotnú starostlivosť v špecializačnom odbore geriatria"
GIT,"lekár, ktorý poskytuje zdravotnú starostlivosť v špecializačnom odbore gastroenterológia alebo v subšpecializačnom odbore pediatrická gastroenterológia, hepatológia a výživa"
GYN,"lekár, ktorý poskytuje zdravotnú starostlivosť v špecializačnom odbore gynekológia a pôrodníctvo alebo v subšpecializačnom odbore pediatrická gynekológia"
GYU,"lekár, ktorý poskytuje zdravotnú starostlivosť v špecializačnom odbore gynekologická urológia"
HEM,"lekár, ktorý poskytuje zdravotnú starostlivosť v špecializačnom odbore hematológia a transfúziológia alebo v subšpecializačnom odbore pediatrická hematológia a onkológia"
HEP,"lekár, ktorý poskytuje zdravotnú starostlivosť v špecializačnom odbore hepatológia alebo v subšpecializačnom odbore pediatrická gastroenterológia, hepatológia a výživa"
CHI,"lekár, ktorý poskytuje zdravotnú starostlivosť v špecializačnom odbore chirurgia alebo v špecializačnom odbore detská chirurgia"
CCH,"lekár, ktorý poskytuje zdravotnú starostlivosť v špecializačnom odbore cievna chirurgia"
INF,"lekár, ktorý poskytuje zdravotnú starostlivosť v špecializačnom odbore infektológia alebo v subšpecializačnom odbore pediatrická infektológia"
INT,"lekár, ktorý poskytuje zdravotnú starostlivosť v špecializačnom odbore vnútorné lekárstvo"
KLF,"lekár, ktorý poskytuje zdravotnú starostlivosť v špecializačnom odbore klinická farmakológia"
KAR,"lekár, ktorý poskytuje zdravotnú starostlivosť v špecializačnom odbore kardiológia alebo v subšpecializačnom odbore pediatrická kardiológia"
LRN,"lekár, ktorý poskytuje zdravotnú starostlivosť v špecializačnom odbore neonatológia"
MFC,"lekár, ktorý poskytuje zdravotnú starostlivosť v špecializačnom odbore maxilofaciálna chirurgia"
NEF,"lekár, ktorý poskytuje zdravotnú starostlivosť v špecializačnom odbore nefrológia alebo v subšpecializačnom odbore pediatrická nefrológia"
NEU,"lekár, ktorý poskytuje zdravotnú starostlivosť v špecializačnom odbore neurológia alebo v subšpecializačnom odbore pediatrická neurológia"
